Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:Origin_Other,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.194,-2.21779,272.999,221.164,27.816,279.597,,,,617.015,58.3381,293.227
101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.18,-2.01554,272.999,221.138,27.7935,279.645,,,,617.015,58.3377,293.227
102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.173,-1.72521,272.989,221.136,27.7984,279.633,,,,617.015,58.3393,293.221
103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.203,-1.52823,272.962,221.14,27.7843,279.61,,,,617.017,58.3445,293.222
104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.201,-1.30829,272.929,221.145,27.7931,279.609,,,,617.015,58.3394,293.221
105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.225,-1.18384,272.914,221.138,27.7983,279.637,,,,617.015,58.341,293.215
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.226,-1.1012,272.924,221.144,27.8352,279.623,,,,617.015,58.3393,293.221
107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.218,-1.0842,272.902,221.147,27.7937,279.608,,,,617.021,58.356,293.222
108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.202,-1.16491,272.903,221.137,27.7955,279.608,,,,617.015,58.3395,293.221
109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.183,-1.24104,272.901,221.144,27.8227,279.615,,,,617.015,58.3392,293.221
110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.161,-1.47722,272.897,221.136,27.7994,279.633,,,,617.024,58.3606,293.23
111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.132,-1.7194,272.924,221.142,27.8013,279.622,,,,617.015,58.3396,293.221
112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.149,-1.97985,272.948,221.16,27.789,279.615,,,,617.021,58.3544,293.228
113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.157,-2.22065,272.963,221.15,27.8214,279.604,,,,617.021,58.3547,293.228
114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.178,-2.43812,273.003,221.134,27.8271,279.615,,,,617.021,58.3546,293.228
115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.192,-2.67302,273.014,221.144,27.8307,279.631,,,,617.021,58.3561,293.222
116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.188,-3.0331,273.046,221.144,27.8232,279.615,,,,617.021,58.3531,293.235
117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.161,-3.40635,273.065,221.16,27.7892,279.615,,,,617.015,58.3364,293.234
118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.111,-3.70908,273.035,221.144,27.8295,279.631,,,,617.015,58.3377,293.227
