Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.426,-9.35426,273.394,337.776,26.6133,277.236,,,,733.591,54.0538,292.055
121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.428,-9.3455,273.393,337.768,26.5871,277.25,,,,733.591,54.0539,292.055
122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.427,-9.313,273.374,337.759,26.6114,277.262,,,,733.59,54.0429,292.056
123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.431,-9.28615,273.416,337.773,26.6145,277.234,,,,733.604,54.042,292.057
124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.435,-9.27109,273.399,337.761,26.5922,277.254,,,,733.591,54.0536,292.055
125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.429,-9.27167,273.399,337.775,26.5925,277.227,,,,733.589,54.0615,292.045
126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.479,-9.28368,273.419,337.775,26.5977,277.216,,,,733.603,54.0501,292.046
127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.454,-9.31057,273.406,337.786,26.5863,277.249,,,,733.603,54.0604,292.046
128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.478,-9.25344,273.4,337.792,26.5898,277.225,,,,733.603,54.0501,292.046
129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.486,-9.20111,273.379,337.792,26.5903,277.225,,,,733.589,54.0502,292.045
130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.481,-9.23596,273.398,337.792,26.5902,277.225,,,,733.589,54.0505,292.045
131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.479,-9.24729,273.4,337.777,26.5939,277.23,,,,733.609,54.0511,292.033
132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.485,-9.24453,273.399,337.776,26.5857,277.225,,,,733.603,54.0497,292.046
133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.482,-9.2246,273.442,337.775,26.6142,277.237,,,,733.603,54.0498,292.047
134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.481,-9.2459,273.444,337.785,26.5592,277.226,,,,733.603,54.0606,292.046
135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.507,-9.16791,273.437,337.779,26.5583,277.229,,,,733.61,54.0651,292.032
136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.485,-9.2118,273.441,337.793,26.5847,277.236,,,,733.591,54.0675,292.054
137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.482,-9.19111,273.424,337.784,26.613,277.234,,,,733.597,54.058,292.041
138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.483,-9.18327,273.423,337.785,26.5835,277.249,,,,733.591,54.0672,292.054
139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.51,-9.10109,273.416,337.766,26.6124,277.235,,,,733.591,54.0542,292.055
140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.512,-9.08685,273.414,337.766,26.6142,277.235,,,,733.591,54.0537,292.055
141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.513,-9.07066,273.413,337.766,26.6136,277.235,,,,733.591,54.0539,292.055
142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.512,-9.09022,273.415,337.766,26.6136,277.235,,,,733.59,54.0429,292.056
143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.513,-9.07394,273.414,337.759,26.6143,277.249,,,,733.591,54.0536,292.055
144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.513,-9.03416,273.395,337.766,26.6136,277.235,,,,733.591,54.0674,292.054
145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.514,-9.02817,273.394,337.759,26.6143,277.249,,,,733.591,54.0677,292.054
146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.497,-8.97004,273.386,337.751,26.6121,277.263,,,,733.591,54.0675,292.054
147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.526,-8.89262,273.377,337.783,26.6131,277.234,,,,733.591,54.0675,292.054
148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.5,-8.91351,273.365,337.777,26.6205,277.238,,,,733.591,54.0675,292.054
149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.496,-8.94363,273.368,337.77,26.5823,277.25,,,,733.59,54.0431,292.056
150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.496,-8.94708,273.368,337.755,26.5222,277.243,,,,733.59,54.0284,292.057
151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.471,-9.04668,273.392,337.755,26.4873,277.231,,,,733.589,54.0175,292.057
152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.468,-9.06453,273.394,337.755,26.4871,277.231,,,,733.603,54.017,292.059
153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.467,-9.0797,273.395,337.762,26.5197,277.229,,,,733.588,54.0356,292.047
