Trajectories
150
,,Snake_94:Head_M1,,,Snake_94:M2,,,Snake_94:M3,,,Snake_94:M4,,,Snake_94:M5,,,Snake_94:M6,,,Snake_94:M7,,,Snake_94:M8,,,Snake_94:M9,,,Snake_94:Vent_M10,,,Branch_1:OriginEnd,,,Branch_1:TargetEnd,,,Branch_1:OriginOther,,,Branch_1:TargetOther,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
7478,0,-109.591,231.022,541.982,-188.419,234.488,534.191,-267.894,247.469,558.259,-346.628,270.42,553.972,-403.858,222.918,557.625,,,,,,,,,,-699.139,251.971,558.315,-780.117,202.58,556.455,-249.286,246.171,538.398,294.478,260.566,533.859,-923.577,220.947,561.259,690.439,278.32,542.851,,,,,,,,,,,,
7479,0,-109.517,230.828,542.078,-188.987,233.982,533.919,-267.863,247.465,558.268,-346.45,270.776,553.931,,,,-473.379,251.598,562.696,,,,-613.874,206.143,560.23,-698.276,252.054,558.22,-779.356,203.366,556.733,-249.261,246.202,538.419,294.485,260.566,533.861,-923.551,220.886,561.25,690.451,278.321,542.852,,,,,,,,,,,,
7480,0,-109.459,230.785,542.137,-188.617,234.277,534.181,-267.801,247.44,558.24,-346.398,270.987,553.896,-402.71,221.878,557.313,-472.944,251.408,562.796,-545.942,251.947,562.602,,,,-697.576,251.821,558.106,-778.69,203.885,557.244,-249.258,246.166,538.431,294.478,260.566,533.859,-923.552,220.892,561.257,690.451,278.321,542.852,,,,,,,,,,,,
7481,0,-109.393,230.795,542.232,-188.964,234.001,533.921,-267.773,247.431,558.225,-346.321,271.189,553.914,-402.378,221.802,557.262,-472.318,250.68,562.782,-545.698,252.274,562.458,,,,-696.889,252.36,558.06,-778.242,203.677,557.65,-249.258,246.172,538.447,294.478,260.566,533.859,-923.551,220.885,561.25,690.451,278.321,542.852,,,,,,,,,,,,
7482,0,-109.496,231.202,542.341,-188.614,234.282,534.181,-267.753,247.457,558.239,-346.308,271.315,553.881,-402.172,221.919,557.242,,,,-545.519,252.541,562.428,-611.651,204.213,559.209,-695.888,251.91,557.872,-777.316,205.019,557.888,-249.253,246.187,538.47,294.493,260.542,533.861,-923.551,220.885,561.25,690.45,278.328,542.842,,,,,,,,,,,,
7483,0,-109.386,231.358,542.425,-188.547,234.367,534.185,-267.684,247.424,558.216,-346.232,271.471,553.851,-401.923,221.863,557.203,-471.936,250.878,562.918,-545.31,252.788,562.378,,,,-695.436,252.258,557.887,-776.669,205.461,558.377,-249.254,246.136,538.458,294.486,260.564,533.86,-923.55,220.877,561.243,690.452,278.323,542.852,,,,,,,,,,,,
7484,0,-109.187,231.361,542.546,-188.396,234.517,534.17,-267.665,247.414,558.214,-346.107,271.673,553.79,-401.484,221.709,557.115,-471.536,250.488,563.058,-545.508,252.935,562.831,-610.796,204.366,559.099,-694.462,252.242,557.664,-775.902,206.307,558.682,-249.249,246.152,538.486,294.466,260.503,533.79,-923.55,220.868,561.236,690.453,278.316,542.862,,,,,,,,,,,,
7485,0,-109.294,232.048,542.767,-188.207,234.514,534.143,-267.63,247.444,558.22,-346.072,271.966,553.675,,,,,,,-544.662,253.827,562.192,-610.165,204.046,558.961,-693.888,252.183,557.594,-775.376,206.884,559.243,-249.247,246.154,538.488,294.477,260.51,533.862,-923.55,220.876,561.243,690.441,278.315,542.861,,,,,,,,,,,,
7486,0,-109.236,232.275,542.901,-188.029,234.542,534.206,-267.607,247.429,558.234,-345.842,271.885,553.737,-400.887,221.528,557.001,,,,-544.908,254.041,561.777,-609.633,204.033,558.858,-693.125,252.385,557.603,-774.823,207.432,559.432,-249.226,246.151,538.474,294.493,260.541,533.861,-923.55,220.868,561.236,690.451,278.321,542.852,,,,,,,,,,,,
7487,0,-108.985,232.395,543.095,-188.127,234.831,534.098,-267.593,247.463,558.243,-345.687,271.961,553.712,-400.564,221.424,556.973,-470.529,250.087,563.617,-543.872,254.519,562.034,-609.014,204.041,558.812,-692.232,252.383,557.6,-774.102,207.763,559.794,-249.249,246.15,538.481,294.486,260.544,533.861,-923.55,220.866,561.243,690.439,278.32,542.851,,,,,,,,,,,,
