Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:Origin_End,,,Branch:Target_End,,,Branch:Origin_Other,,,Branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.588,-243.137,177.414,502.535,-110.97,179.641,-829.762,-382.101,193.237,891.255,-30.3111,191.645
78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.125,177.451,502.535,-110.97,179.641,-829.768,-382.086,193.247,891.272,-30.2856,191.666
79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.126,177.451,502.535,-110.97,179.641,-829.768,-382.086,193.247,891.308,-30.3093,191.645
80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.093,177.453,502.523,-110.982,179.651,-829.767,-382.089,193.254,891.309,-30.3112,191.644
81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.091,177.453,502.523,-110.982,179.651,-829.749,-382.116,193.253,891.308,-30.3183,191.664
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.555,-243.084,177.434,502.523,-110.982,179.651,-829.735,-382.138,193.252,891.31,-30.3177,191.689
83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.091,177.453,502.536,-110.972,179.653,-829.74,-382.091,193.252,891.309,-30.3107,191.645
84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.092,177.453,502.536,-110.972,179.653,-829.749,-382.115,193.253,891.289,-30.3373,191.663
85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.092,177.453,502.536,-110.972,179.653,-829.759,-382.064,193.254,891.307,-30.3126,191.686
86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.092,177.453,502.536,-110.972,179.653,-829.755,-382.068,193.253,891.308,-30.3177,191.664
