Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8139,0,-382.909,14.0639,614.837,-450.197,-7.08266,606.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8140,0,-381.493,14.971,614.656,-448.271,-6.158,606.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8141,0,-379.874,15.4005,614.707,-446.951,-6.1352,606.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8142,0,-378.207,15.1226,614.976,-445.48,-5.81061,606.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8143,0,-376.674,14.2145,614.881,-443.613,-5.05246,606.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8144,0,-374.626,15.3704,614.974,-442.357,-4.97535,607.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8145,0,-372.826,15.958,614.861,-440.836,-4.56689,607.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8146,0,-371.366,14.8638,614.875,-438.506,-3.3368,607.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8147,0,-369.763,14.868,614.942,-437.43,-3.30627,607.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8148,0,-368.175,15.0719,614.905,-436.087,-2.92077,607.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8149,0,-366.259,15.6053,614.99,-434.127,-1.93708,608.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,0,-364.341,15.5894,614.973,-432.613,-1.0312,608.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8151,0,-362.073,17.1244,614.766,-431.127,-0.563417,608.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8152,0,-360.329,16.8937,615.014,-429.196,0.440108,609.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8153,0,-358.582,17.5156,614.659,-427.888,1.12052,609.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8154,0,-357.108,16.9193,614.757,-426.378,0.923339,609.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8155,0,-355.459,17.0669,614.824,-424.807,2.27536,610.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8156,0,-353.735,17.2834,614.991,-423.035,3.23587,610.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8157,0,-352.077,17.2618,615.349,-421.561,3.40344,610.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8158,0,-350.209,17.5115,615.312,-419.657,4.78187,610.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8159,0,-348.371,18.1734,615.359,-418.396,4.81226,611.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8160,0,-346.666,18.1282,615.559,-416.477,6.03537,611.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8161,0,-344.951,18.5699,615.524,-414.648,7.02366,611.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162,0,-343.249,19.1916,615.423,-412.986,7.44597,611.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,0,-341.09,21.375,615.539,-411.397,8.13507,611.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8164,0,-339.62,20.6921,615.19,-409.619,8.69375,612.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8165,0,-337.516,22.1521,615.12,-408.05,9.24481,612.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8166,0,-335.911,20.3663,615.278,-406.218,10.0525,612.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8167,0,-333.635,21.9918,615.302,-404.279,10.9614,612.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8168,0,-332.16,21.3039,615.041,-402.636,11.365,613.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8169,0,-329.883,23.7162,615.018,-400.536,12.4174,613.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
