Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:OriginOther,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.274,-9.06046,273.08,283.035,28.315,276.738,-816.769,-54.2547,287.362,679.035,57.9935,291.626
94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.265,-9.10569,273.056,283.035,28.3152,276.737,-816.77,-54.2571,287.368,679.025,57.9753,291.624
95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.253,-9.10577,273.056,283.039,28.2895,276.709,-816.735,-54.256,287.364,679.05,57.9507,291.632
96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.218,-9.12057,273.058,283.029,28.2944,276.726,-816.735,-54.2561,287.364,679.027,57.975,291.63
97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.218,-9.12083,273.058,283.03,28.295,276.734,-816.735,-54.256,287.364,679.036,57.9943,291.632
98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.206,-9.15241,273.041,283.038,28.2511,276.774,-816.735,-54.256,287.364,679.021,57.9612,291.629
99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.212,-9.16664,273.051,283.03,28.2467,276.783,-816.718,-54.22,287.364,679.038,57.9545,291.625
100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.186,-9.14367,273.051,283.023,28.2143,276.792,-816.718,-54.219,287.364,679.043,57.9572,291.632
101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.178,-9.12941,273.043,283.036,28.2868,276.722,-816.699,-54.1918,287.382,679.035,57.9809,291.625
102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.187,-9.09072,273.042,283.036,28.29,276.721,-816.684,-54.1468,287.362,679.049,57.9438,291.617
