Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,brancho:OriginEnd,,,brancho:TargetEnd,,,brancho:OriginOther,,,brancho:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.586,-98.6168,261.869,398.798,-48.5442,259.063,-882.665,-152.836,277.761,794.45,-16.2347,272.291
64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.586,-98.6172,261.869,398.798,-48.546,259.062,-882.664,-152.835,277.755,794.453,-16.213,272.289
65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.632,261.873,398.803,-48.547,259.053,-882.665,-152.836,277.761,794.451,-16.2343,272.291
66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6166,261.867,398.803,-48.547,259.053,-882.665,-152.836,277.761,794.428,-16.1878,272.296
67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6159,261.867,398.806,-48.5391,259.061,-882.665,-152.836,277.761,794.425,-16.2086,272.298
68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7172,261.879,398.804,-48.541,259.064,-882.664,-152.847,277.749,794.426,-16.2057,272.299
69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6189,261.867,398.816,-48.5483,259.05,-882.665,-152.836,277.76,794.425,-16.2094,272.298
70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6141,261.865,398.793,-48.5517,259.049,-882.656,-152.854,277.759,794.425,-16.2096,272.298
71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6319,261.873,398.803,-48.5457,259.054,-882.665,-152.836,277.761,794.432,-16.1902,272.298
72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7177,261.879,398.803,-48.5455,259.054,-882.665,-152.836,277.761,794.459,-16.2192,272.3
73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6187,261.867,398.819,-48.5414,259.062,-882.664,-152.847,277.749,794.459,-16.2203,272.301
74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.632,-98.7158,261.879,398.789,-48.5565,259.06,-882.664,-152.835,277.755,794.459,-16.2199,272.301
75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6189,261.867,398.789,-48.5569,259.059,-882.665,-152.836,277.761,794.433,-16.1904,272.298
76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6307,261.873,398.785,-48.5289,259.051,-882.665,-152.836,277.761,794.457,-16.2145,272.291
77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6324,261.873,398.788,-48.5161,259.065,-882.664,-152.847,277.749,794.433,-16.1906,272.298
78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.67,261.874,398.782,-48.5154,259.052,-882.665,-152.836,277.76,794.431,-16.1851,272.289
79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.671,261.874,398.782,-48.5155,259.052,-882.665,-152.836,277.761,794.431,-16.1853,272.288
80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.621,-98.7484,261.865,398.777,-48.5258,259.059,-882.665,-152.836,277.761,794.431,-16.1854,272.289
81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.577,-98.6581,261.87,398.79,-48.5167,259.053,-882.655,-152.864,277.742,794.434,-16.1631,272.286
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.593,-98.669,261.874,398.791,-48.4918,259.051,-882.665,-152.837,277.76,794.433,-16.1625,272.286
