Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_85:Head_M1,,,Snake_85:M2,,,Snake_85:M3,,,Snake_85:M4,,,Snake_85:M5,,,Snake_85:M6,,,Snake_85:M7,,,Snake_85:M8,,,Snake_85:M9,,,Snake_85:Vent_M10,,,branchy:OriginEnd,,,branchy:TargetEnd,,,branchy:OriginOther,,,branchy:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33538,0,-268.511,192.137,416.682,-267.91,146.028,374.577,,,,-315.093,68.719,317.721,-363.568,77.1585,331.31,-433.974,97.0286,343.499,-502.658,61.5248,317.72,-551.007,51.0105,292.768,-574.126,92.7415,343.134,,,,-260.142,109.463,324.72,235.727,128.901,320.559,-934.364,75.0222,339.52,408.718,133.429,330.755
33539,0,-268.588,192.193,416.771,-268.203,145.88,374.65,,,,-315.071,68.6609,317.729,-363.365,76.689,331.023,-433.819,96.92,343.685,-502.668,61.7654,317.846,-550.909,51.0129,292.795,-574.165,92.6038,343.149,,,,-260.118,109.48,324.722,235.85,128.81,320.455,-934.328,75.2504,339.485,408.723,133.411,330.771
33540,0,-268.708,192.305,416.832,-268.271,145.918,374.676,,,,-315.072,68.646,317.768,-363.245,76.2141,330.445,-433.495,96.8805,343.725,-502.566,62.0691,318.005,-550.813,51.0433,292.755,-574.197,92.4939,343.058,,,,-260.142,109.463,324.72,235.727,128.901,320.559,-934.341,75.2972,339.475,408.692,133.519,330.763
33541,0,-268.721,192.373,416.923,-268.218,146.04,374.675,,,,-315.072,68.648,317.769,-363.242,75.9925,330.263,-433.144,97.2637,343.712,-502.428,62.2077,318.15,-550.655,51.1127,292.764,-574.227,92.4146,343.084,,,,-260.13,109.46,324.72,235.85,128.81,320.455,-934.354,75.2937,339.473,408.719,133.426,330.757
33542,0,-269.303,192.914,417.002,-268.227,146.011,374.661,,,,-315.095,68.6033,317.811,-363.22,75.8302,330.375,-432.901,97.6133,343.691,-502.359,62.2173,318.424,-550.508,51.1373,292.748,-574.214,92.3343,343.119,,,,-260.13,109.461,324.72,235.727,128.897,320.554,-934.352,75.2876,339.479,408.703,133.424,330.759
33543,0,-269.788,193.35,417.094,-268.288,145.999,374.655,,,,-315.104,68.5763,317.818,-363.181,75.6904,330.36,-432.848,97.1766,343.721,-502.307,62.2003,318.59,-550.358,51.1527,292.753,-574.186,92.2458,343.124,,,,-260.119,109.427,324.723,235.85,128.81,320.455,-934.384,75.3027,339.483,408.704,133.487,330.776
33544,0,-269.8,193.557,417.023,-268.371,145.921,374.681,,,,-315.127,68.6293,317.811,-363.312,75.867,330.492,-432.76,96.9249,343.735,-502.347,62.2027,318.709,-550.196,51.0832,292.762,-574.142,92.199,343.186,,,,-260.119,109.422,324.716,235.852,128.803,320.449,-934.363,75.3086,339.488,408.693,133.512,330.783
33545,0,-270.107,193.743,417.431,-268.517,145.825,374.701,,,,-315.148,68.6011,317.818,-363.226,76.1042,330.141,-432.667,96.8051,343.79,-502.335,62.2339,318.848,-549.992,51.0268,292.734,-574.11,92.1161,343.193,,,,-260.119,109.422,324.716,235.851,128.804,320.449,-934.359,75.3174,339.511,408.693,133.523,330.772
33546,0,-269.995,194.48,417.17,-268.65,145.846,374.648,,,,-315.175,68.5351,317.904,-363.211,76.1979,330.1,-432.593,96.8096,343.689,-502.262,62.4337,319.011,-549.892,50.9203,292.732,-574.034,92.068,343.183,,,,-260.122,109.416,324.709,235.727,128.902,320.56,-934.359,75.3118,339.514,408.693,133.523,330.772
33547,0,-269.996,194.739,417.169,-268.803,145.98,374.351,,,,-315.496,67.9607,318.066,-363.304,76.4585,330.023,-432.367,96.8839,343.729,-502.215,62.5808,319.142,-549.824,50.9487,292.692,-573.675,92.1144,343.234,,,,-260.128,109.406,324.708,235.853,128.814,320.456,-934.368,75.3188,339.494,408.718,133.426,330.767
33548,0,-270.069,194.841,417.184,-269.163,145.68,374.625,,,,-315.36,68.1328,318.136,-363.156,76.4164,329.985,-432.289,96.9712,343.647,-502.13,62.6951,319.196,-549.764,51.0155,292.699,-573.646,92.0533,343.217,,,,-260.132,109.403,324.714,235.852,128.808,320.454,-934.366,75.3233,339.516,408.699,133.493,330.756
33549,0,-270.165,194.888,417.173,-269.43,145.554,374.625,,,,-315.317,68.4122,318.096,-363.128,76.4407,329.973,-432.131,97.0313,343.756,-502.117,62.6893,319.297,-549.719,51.0161,292.681,-573.676,91.914,343.203,,,,-260.117,109.403,324.712,235.727,128.902,320.56,-934.368,75.3183,339.491,408.702,133.482,330.771
33550,0,-270.294,194.872,417.167,-269.659,145.489,374.587,,,,-315.376,68.5385,318.087,-363.064,75.9193,329.394,-432.009,97.1111,343.764,-502.091,62.5719,319.405,-549.678,51.0227,292.661,-573.698,91.8084,343.199,,,,-260.128,109.406,324.708,235.85,128.81,320.455,-934.363,75.3352,339.513,408.697,133.501,330.757
33551,0,-270.445,194.884,417.199,-269.721,145.57,374.547,,,,-315.436,68.5194,318.135,-362.686,75.2326,329.394,-431.894,97.1752,343.769,-502.088,62.5205,319.54,-549.624,50.9601,292.519,-573.359,91.8896,343.197,,,,-260.116,109.404,324.708,235.727,128.901,320.559,-934.337,75.3224,339.512,408.682,133.556,330.758
33552,0,-270.629,194.881,417.223,-269.736,145.65,374.543,,,,-315.551,68.4661,318.168,-362.606,75.1075,329.412,-431.795,97.3294,343.722,-502.076,62.5548,319.61,-549.631,50.6292,292.416,-573.242,91.811,343.182,,,,-260.131,109.404,324.713,235.726,128.903,320.561,-934.333,75.308,339.511,408.683,133.545,330.772
33553,0,-270.794,194.937,417.22,-269.764,145.682,374.522,,,,,,,-362.624,75.1392,329.393,-431.76,97.3547,343.677,-502.07,62.5696,319.651,-549.583,50.4821,292.328,-573.159,91.7371,343.133,,,,-260.107,109.419,324.717,235.725,128.9,320.553,-934.359,75.3162,339.507,408.684,133.532,330.784
33554,0,-270.906,194.99,417.178,-269.789,145.632,374.362,,,,,,,-362.613,75.1337,329.393,-431.72,97.3129,343.684,-502.061,62.5971,319.674,-549.546,50.2901,292.251,-573.026,91.6537,343.082,,,,-260.107,109.42,324.717,235.842,128.816,320.448,-934.333,75.3083,339.511,408.723,133.402,330.785
33555,0,-271.012,195.094,417.121,-269.824,145.657,374.371,,,,,,,-362.636,75.1153,329.396,-431.67,97.2955,343.752,-502.035,62.6228,319.825,-549.413,50.3673,292.154,-572.989,91.5713,343.086,,,,-260.119,109.422,324.716,235.727,128.901,320.559,-934.333,75.3079,339.511,408.694,133.503,330.776
33556,0,-271.462,194.838,416.758,-269.82,145.722,374.367,,,,,,,-362.611,74.944,329.328,-431.627,97.3892,343.769,-502.06,62.6704,319.852,-549.38,50.3825,292.014,-573.009,91.451,343.086,,,,-260.13,109.46,324.72,235.726,128.903,320.561,-934.334,75.3107,339.485,408.683,133.502,330.786
