Trial,ID,gsm,gsr,gs_bin,TNorm,x_torq,y_torq,res,hpt,svl,mass
203,88,0.619130491,64.56000946,65,0.012310424,0.006619766,0.009105127,0.011257204,20.86089737,0.959,0.0973
202,88,0.61947541,64.59597598,65,0.01759246,-0.002347001,0.01591521,0.016087334,27.62012699,0.959,0.0973
201,88,0.570793732,59.51968004,60,0.010702753,0.006423744,0.007383929,0.009787078,23.40760108,0.959,0.0973
200,88,0.571044824,59.54586275,60,0.02765772,0.011463103,0.022544517,0.02529146,36.57026799,0.959,0.0973
199,88,0.570687427,59.5085951,60,0.022498922,0.013171448,0.01580517,0.020574023,30.75274452,0.959,0.0973
194,88,0.53,55.26590198,55,0.027419677,0.010329564,0.024030021,0.026156105,34.71255782,0.959,0.1015
193,88,0.53,55.26590198,55,0.06313528,0.004637936,0.060046989,0.060225836,60.43737606,0.959,0.1015
192,88,0.53,55.26590198,55,0.032142819,0.006769144,0.029905048,0.030661591,40.03322812,0.959,0.1015
191,88,0.49,51.09489051,50,0.010945675,0.001090769,0.010384138,0.010441269,28.0901588,0.959,0.1015
190,88,0.489971052,51.091872,50,0.068640922,0.006392204,0.065164999,0.065477763,71.46958346,0.959,0.1015
187,88,0.415063253,43.28083971,45,0.079974657,0.002348621,0.076253048,0.076289208,93.06284213,0.959,0.1015
186,88,0.436190633,45.48390338,45,0.030278053,0.000326662,0.028880912,0.028882759,52.85567131,0.959,0.1015
184,88,0.374052641,39.00444636,40,0.003947148,0.00228052,0.002996057,0.003765253,16.80955061,0.959,0.1015
183,88,0.373644148,38.96185069,40,0.023692928,0.005103422,0.022017369,0.022601094,56.40548819,0.959,0.1015
175,94,0.759480513,89.35064861,90,0.02292472,-0.00213865,0.022949791,0.023049224,17.49265914,0.85,0.1207
174,94,0.711960578,83.76006795,85,0.026796439,0.017459428,0.020519214,0.026941971,22.84539724,0.85,0.1207
172,94,0.670250655,78.85301824,80,0.008059969,0.003147836,0.00746738,0.008103742,15.15857908,0.85,0.1207
171,94,0.631412939,74.28387517,75,0.033931118,-0.002647863,0.034012486,0.034115398,30.88402929,0.85,0.1207
170,94,0.629512774,74.0603264,75,0.009552671,-0.003351917,0.00900067,0.009604551,16.99032562,0.85,0.1207
169,94,0.629742563,74.08736038,75,0.024633832,0.016264924,0.018678521,0.024767618,30.80860909,0.85,0.1207
167,94,0.603999376,71.05875017,70,0.025194974,0.012960619,0.021765175,0.025331808,25.55057895,0.85,0.1207
166,94,0.604846486,71.15841011,70,0.021868626,-0.001240731,0.021952359,0.021987394,27.90109471,0.85,0.1207
165,94,0.604941946,71.16964067,70,0.030088754,0.012860027,0.027382719,0.030252166,29.05559946,0.85,0.1207
164,94,0.552815553,65.03712388,65,0.025463807,-6.42E-05,0.025602021,0.025602101,31.57616378,0.85,0.1207
163,94,0.552850351,65.04121776,65,0.018580013,0.010944237,0.01513937,0.018680921,24.34740452,0.85,0.1207
162,94,0.555958027,65.40682673,65,0.020881179,0.000556319,0.020987212,0.020994584,27.72919749,0.85,0.1207
161,94,0.513258639,60.38336933,60,0.093581306,0.01262474,0.093238718,0.094089546,69.61468132,0.85,0.1207
160,94,0.512711753,60.31902973,60,0.049002288,-0.011762053,0.047843822,0.049268419,49.0739833,0.85,0.1207
159,94,0.513158705,60.37161239,60,0.027976856,0.006328779,0.027407587,0.028128798,30.37798361,0.85,0.1207
158,94,0.47460852,55.83629643,55,0.024944494,0.008358588,0.023646115,0.025079968,39.62458496,0.85,0.1207
157,94,0.47288941,55.63404819,55,0.098511375,-0.01724366,0.097533807,0.09904639,75.43086779,0.85,0.1207
151,95,0.644446322,96.61863898,95,0.007503607,-0.000182127,0.001613243,0.001623491,12.63400412,0.667,0.0331
149,95,0.62828905,94.19625943,95,0.023260763,0.002852999,0.004145937,0.005032733,21.39061848,0.667,0.0331
148,95,0.590101572,88.47100028,90,0.021459486,0.002129595,0.004125812,0.004643006,23.27358028,0.667,0.0331
147,95,0.564787992,84.67586089,85,0.030713881,0.004396399,0.004983141,0.0066453,26.0272878,0.667,0.0331
146,95,0.561907721,84.24403616,85,0.025087952,0.000479823,0.005406817,0.005428066,21.8452838,0.667,0.0331
145,95,0.561763709,84.22244515,85,0.012790589,0.00213056,0.001766116,0.002767391,18.17841313,0.667,0.0331
144,95,0.52844311,79.22685314,80,0.020397703,0.001266009,0.004546982,0.004719939,24.82511301,0.667,0.0354
143,95,0.528279712,79.20235564,80,0.024154754,0.002952735,0.004745702,0.005589305,24.147224,0.667,0.0354
142,95,0.528617452,79.25299136,80,0.021970873,0.001763311,0.004768378,0.005083964,23.61577091,0.667,0.0354
141,95,0.489839298,73.43917506,75,0.031186995,0.001950373,0.006947979,0.007216535,34.28733434,0.667,0.0354
140,95,0.489002418,73.31370578,75,0.023055851,0.002367948,0.004780721,0.005335023,27.60888382,0.667,0.0354
139,95,0.489273999,73.35442271,75,0.01904166,0.001521002,0.004135308,0.004406157,25.66254968,0.667,0.0354
135,95,0.454468869,68.1362622,70,0.0226963,-0.001779022,0.00460884,0.004940276,27.60918796,0.667,0.0333
134,95,0.452722114,67.87437984,70,0.013289916,0.00189984,0.00218149,0.0028928,20.441526,0.667,0.0333
133,95,0.452059611,67.77505405,70,0.022491082,0.001843913,0.004535079,0.004895606,30.48456773,0.667,0.0333
132,95,0.426083155,63.88053293,65,0.118209041,-0.002388094,0.025619356,0.025730418,74.00922445,0.667,0.0333
131,95,0.424163314,63.59270075,65,0.115692316,0.005238874,0.024631643,0.025182605,71.63069412,0.667,0.0333
130,95,0.420830145,63.09297519,65,0.018929528,0.002100545,0.003544734,0.004120367,25.15613912,0.667,0.0333
129,95,0.392274783,58.81181148,60,0.08410184,0.004878627,0.017644298,0.018306345,65.29047694,0.667,0.0333
128,95,0.39168127,58.72282912,60,0.088131526,0.001458156,0.019127983,0.019183482,70.05612655,0.667,0.0333
127,95,0.390678532,58.57249354,60,0.118400164,0.004683954,0.025342801,0.025772019,81.0096864,0.667,0.0333
125,95,0.354293373,53.1174473,55,0.103598476,0.001941358,0.022466432,0.022550154,85.5374566,0.667,0.0333
124,95,0.354069927,53.08394709,55,0.025140842,0.001927711,0.005121605,0.005472376,39.04310446,0.667,0.0333
122,95,0.324597625,48.66531117,50,0.012743247,-0.000786374,0.002660004,0.002773807,31.39775951,0.667,0.0333
108,89,0.780127891,109.108796,110,0.029095558,0.003916042,0.013043515,0.013618688,23.11435429,0.715,0.0668
102,89,0.747238656,104.5089029,105,0.043540787,0.001762105,0.020303711,0.020380032,26.92114248,0.715,0.0668
96,89,0.709353138,99.21022905,100,0.011352042,0.002127214,0.00503363,0.005464656,14.79764125,0.715,0.0687
