Trial,Date,ID,Mass,SVL,Spacings,LF,DP,Notes,Temp,Humidity,Behavior_guess,Attempted_gs_svl
229,10-Oct-16,90,55.2,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",23919,23420,,,,Not cantilever,63
230,10-Oct-16,90,55.2,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",22845,21114,,,,Not cantilever,63
235,10-Oct-16,90,55.2,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",4499,3826,,,,Not cantilever,60
236,10-Oct-16,90,55.2,72.5,"1,9,9,8.5,9,9.5,8.5,6,6,6",5304,4159,,,,Not cantilever,65
181,29-Sep-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",2155,N/A,,,,Cantilever,34
182,29-Sep-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",4695,N/A,,,,Cantilever,34
183,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",1204,1144,,,,Not cantilever,40
184,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",12314,12192,,,,Not cantilever,40
185,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",6125,N/A,,,,Cantilever,40
186,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",26388,14434,,,,Not cantilever,45
187,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",1534,1454,,,,Not cantilever,45
188,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",29307,N/A,,,,Cantilever,45
190,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",2575,2495,,,,Not cantilever,50
191,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",13872,13709,,,,Not cantilever,50
192,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",28479,28301,,,,Not cantilever,55
193,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",47345,47225,,,,Not cantilever,55
194,3-Oct-16,88,101.5,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",22489,22330,,,,Not cantilever,55
199,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",25773,25498,,,,Not cantilever,60
200,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",7314,7116,,,,Not cantilever,60
201,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",36378,36239,,,,Not cantilever,60
202,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",11256,10995,,,,Not cantilever,65
203,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",5797,5351,,,,Not cantilever,65
204,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",26157,25787,,,,Not cantilever,65
206,5-Oct-16,88,96.7,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",63961,63546,,,,Not cantilever,73
208,5-Oct-16,88,96.7,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",21553,20963,,,,Not cantilever,73
202,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",11256,10995,,,,,65
203,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",5797,5351,,,,,65
204,4-Oct-16,88,97.3,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",26157,25787,,,,,65
206,5-Oct-16,88,96.7,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",63961,63546,,,,,73
207,5-Oct-16,88,96.7,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",??,N/A,,,,,73
208,5-Oct-16,88,96.7,95.9,"1.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5",21553,20963,,,,,73
